Game 1 | Country 1 | 1.1.1.1 | 1.0.1.1
Game 1 | Country 2 | 1.1.1.2 | 1.0.1.2
Game 1 | Country 3 | 1.1.1.3 | 1.0.1.3
Game 1 | Country 4 | 1.1.1.4 | 1.0.1.4
Game 1 | Country 5 | 1.1.1.5 | 1.0.1.5
Game 1 | Country 6 | 1.1.1.6 | 1.0.1.6
Game 1 | Country 7 | 1.1.1.7 | 1.0.1.7
Game 1 | Country 8 | 1.1.1.8 | 1.0.1.8
Game 1 | Country 9 | 1.1.1.9 | 1.0.1.9
Game 1 | Country 10 | 1.1.1.10 | 1.0.1.10
Game 1 | Country 11 | 1.1.1.11 | 1.0.1.11
Game 1 | Country 12 | 1.1.1.12 | 1.0.1.12
Game 1 | Country 13 | 1.1.1.13 | 1.0.1.13
Game 2 | Country 1 | 1.1.2.1 | 1.0.2.1
Game 2 | Country 2 | 1.1.2.2 | 1.0.2.2
Game 2 | Country 3 | 1.1.2.3 | 1.0.2.3
Game 2 | Country 4 | 1.1.2.4 | 1.0.2.4
Game 2 | Country 5 | 1.1.2.5 | 1.0.2.5
Game 2 | Country 6 | 1.1.2.6 | 1.0.2.6
Game 2 | Country 7 | 1.1.2.7 | 1.0.2.7
Game 2 | Country 8 | 1.1.2.8 | 1.0.2.8
Game 2 | Country 9 | 1.1.2.9 | 1.0.2.9
Game 2 | Country 10 | 1.1.2.10 | 1.0.2.10
Game 2 | Country 11 | 1.1.2.11 | 1.0.2.11
Game 2 | Country 12 | 1.1.2.12 | 1.0.2.12
Game 2 | Country 13 | 1.1.2.13 | 1.0.2.13
Game 3 | Country 1 | 1.1.3.1 | 1.0.3.1
Game 3 | Country 2 | 1.1.3.2 | 1.0.3.2
Game 3 | Country 3 | 1.1.3.3 | 1.0.3.3
Game 3 | Country 4 | 1.1.3.4 | 1.0.3.4
Game 3 | Country 5 | 1.1.3.5 | 1.0.3.5
Game 3 | Country 6 | 1.1.3.6 | 1.0.3.6
Game 3 | Country 7 | 1.1.3.7 | 1.0.3.7
