Call of Duty | Iran | 192.168.0.0
Free Fire | Turkey | 192.168.1.3
PUBG | Germany | 192.168.2.6
Clash of Clans | USA | 192.168.3.9
Fortnite | France | 192.168.4.12
Arena Breakout (New) | Qatar | 192.168.5.15
Valorant | UAE | 192.168.6.18
League of Legends | Russia | 192.168.7.21
Mobile Legends | India | 192.168.8.24
Call of Duty | Brazil | 192.168.9.27
Free Fire | Iran | 192.168.10.30
PUBG | Turkey | 192.168.11.33
Clash of Clans | Germany | 192.168.12.36
Fortnite | USA | 192.168.13.39
Arena Breakout (New) | France | 192.168.14.42
Valorant | Qatar | 192.168.15.45
League of Legends | UAE | 192.168.16.48
Mobile Legends | Russia | 192.168.17.51
Call of Duty | India | 192.168.18.54
Free Fire | Brazil | 192.168.19.57
PUBG | Iran | 192.168.20.60
Clash of Clans | Turkey | 192.168.21.63
Fortnite | Germany | 192.168.22.66
Arena Breakout (New) | USA | 192.168.23.69
Valorant | France | 192.168.24.72
League of Legends | Qatar | 192.168.25.75
Mobile Legends | UAE | 192.168.26.78
Call of Duty | Russia | 192.168.27.81
Free Fire | India | 192.168.28.84
PUBG | Brazil | 192.168.29.87
Clash of Clans | Iran | 192.168.30.90
Fortnite | Turkey | 192.168.31.93
Arena Breakout (New) | Germany | 192.168.32.96
Valorant | USA | 192.168.33.99
League of Legends | France | 192.168.34.102
Mobile Legends | Qatar | 192.168.35.105
Call of Duty | UAE | 192.168.36.108
Free Fire | Russia | 192.168.37.111
PUBG | India | 192.168.38.114
Clash of Clans | Brazil | 192.168.39.117
Fortnite | Iran | 192.168.40.120
Arena Breakout (New) | Turkey | 192.168.41.123
Valorant | Germany | 192.168.42.126
League of Legends | USA | 192.168.43.129
Mobile Legends | France | 192.168.44.132
Call of Duty | Qatar | 192.168.45.135
Free Fire | UAE | 192.168.46.138
PUBG | Russia | 192.168.47.141
Clash of Clans | India | 192.168.48.144
Fortnite | Brazil | 192.168.49.147
Arena Breakout (New) | Iran | 192.168.50.150
Valorant | Turkey | 192.168.51.153
League of Legends | Germany | 192.168.52.156
Mobile Legends | USA | 192.168.53.159
Call of Duty | France | 192.168.54.162
Free Fire | Qatar | 192.168.55.165
PUBG | UAE | 192.168.56.168
Clash of Clans | Russia | 192.168.57.171
Fortnite | India | 192.168.58.174
Arena Breakout (New) | Brazil | 192.168.59.177
Valorant | Iran | 192.168.60.180
League of Legends | Turkey | 192.168.61.183
Mobile Legends | Germany | 192.168.62.186
Call of Duty | USA | 192.168.63.189
Free Fire | France | 192.168.64.192
PUBG | Qatar | 192.168.65.195
Clash of Clans | UAE | 192.168.66.198
Fortnite | Russia | 192.168.67.201
Arena Breakout (New) | India | 192.168.68.204
Valorant | Brazil | 192.168.69.207
League of Legends | Iran | 192.168.70.210
Mobile Legends | Turkey | 192.168.71.213
Call of Duty | Germany | 192.168.72.216
Free Fire | USA | 192.168.73.219
PUBG | France | 192.168.74.222
Clash of Clans | Qatar | 192.168.75.225
Fortnite | UAE | 192.168.76.228
